File,Label
1025.png,0
1026.png,1
1027.png,1
1028.png,1
1029.png,0
1030.png,0
1031.png,0
1032.png,2
1033.png,2
1034.png,3
1035.png,3
1036.png,1
1037.png,0
1038.png,0
1039.png,1
1040.png,1
1041.png,1
1042.png,3
1043.png,3
1044.png,3
1045.png,2
1046.png,2
1047.png,2
1048.png,1
1049.png,1
1050.png,1
1051.png,0
1052.png,0
1053.png,1
1054.png,1
1055.png,1
1056.png,0
1057.png,0
1058.png,0
1059.png,2
1060.png,2
1061.png,1
1062.png,3
1063.png,3
1064.png,3
1065.png,3
1066.png,3
1067.png,2
1068.png,2
1069.png,2
1070.png,2
1071.png,2
1072.png,1
1073.png,3
1074.png,3
1075.png,0
1076.png,0
1077.png,0
1078.png,1
1079.png,1
1080.png,1
1081.png,0
1082.png,0
1083.png,1
1084.png,1
1085.png,1
1086.png,3
1087.png,3
1088.png,3
1089.png,2
1090.png,2
1091.png,2
1092.png,1
1093.png,1
1094.png,1
1095.png,0
1096.png,0
1097.png,2
1098.png,2
1099.png,2
1100.png,3
1101.png,3
1102.png,3
1103.png,0
1104.png,0
1105.png,1
1106.png,1
1107.png,1
1108.png,0
1109.png,0
1110.png,0
1111.png,1
1112.png,1
1113.png,1
1114.png,3
1115.png,3
1116.png,1
1117.png,2
1118.png,2
1119.png,1
1120.png,1
1121.png,1
1122.png,0
1123.png,0
1124.png,0
1125.png,1
1126.png,1
1127.png,1
1128.png,0
1129.png,0
1130.png,1
1131.png,1
1132.png,1
1133.png,0
1134.png,0
1135.png,0
1136.png,1
1137.png,1
1138.png,1
1139.png,0
1140.png,0
1141.png,1
1142.png,1
1143.png,1
1144.png,0
1145.png,0
1146.png,0
1147.png,1
1148.png,1
1149.png,1
1150.png,0
1151.png,0
448.png,1
449.png,2
450.png,2
451.png,3
452.png,3
453.png,0
454.png,2
455.png,0
456.png,1
457.png,1
458.png,3
459.png,0
460.png,0
461.png,0
462.png,1
463.png,1
464.png,1
465.png,0
466.png,0
467.png,1
468.png,1
469.png,1
470.png,0
471.png,0
472.png,0
473.png,1
474.png,1
475.png,1
476.png,0
477.png,0
478.png,1
479.png,1
480.png,1
481.png,0
482.png,0
483.png,0
484.png,1
485.png,1
486.png,1
487.png,3
488.png,3
489.png,1
490.png,2
491.png,2
492.png,1
493.png,1
494.png,1
495.png,0
496.png,0
497.png,0
498.png,1
499.png,1
500.png,1
501.png,0
502.png,0
503.png,0
504.png,2
505.png,2
506.png,3
507.png,3
508.png,1
509.png,0
510.png,0
511.png,1
512.png,1
513.png,1
514.png,3
515.png,3
516.png,3
517.png,2
518.png,2
519.png,2
520.png,1
521.png,1
522.png,1
523.png,0
524.png,0
525.png,1
526.png,1
527.png,1
528.png,0
529.png,0
530.png,0
531.png,2
532.png,2
533.png,1
534.png,3
535.png,3
536.png,3
537.png,3
538.png,3
539.png,2
540.png,2
541.png,2
542.png,2
543.png,2
544.png,1
545.png,3
546.png,3
547.png,0
548.png,0
549.png,0
550.png,1
551.png,1
552.png,1
553.png,0
554.png,0
555.png,1
556.png,1
557.png,1
558.png,3
559.png,3
560.png,3
561.png,2
562.png,2
563.png,2
564.png,1
565.png,1
566.png,1
567.png,0
568.png,0
569.png,2
570.png,2
571.png,2
572.png,3
573.png,3
574.png,3
575.png,0
576.png,0
577.png,1
578.png,1
579.png,1
580.png,0
581.png,0
582.png,0
583.png,1
584.png,1
585.png,1
586.png,3
587.png,3
588.png,1
589.png,2
590.png,2
591.png,1
592.png,1
593.png,1
594.png,0
595.png,0
596.png,0
597.png,1
598.png,1
599.png,1
600.png,0
601.png,0
602.png,1
603.png,1
604.png,1
605.png,0
606.png,0
607.png,0
608.png,1
609.png,1
610.png,1
611.png,0
612.png,0
613.png,1
614.png,1
615.png,1
616.png,0
617.png,0
618.png,0
619.png,1
620.png,1
621.png,1
622.png,0
623.png,0
624.png,1
625.png,2
626.png,2
627.png,3
628.png,3
629.png,0
630.png,2
631.png,0
632.png,1
633.png,1
634.png,3
635.png,0
636.png,0
637.png,0
638.png,1
639.png,1
640.png,1
641.png,0
642.png,0
643.png,1
644.png,1
645.png,1
646.png,0
647.png,0
648.png,0
649.png,1
650.png,1
651.png,1
652.png,0
653.png,0
654.png,1
655.png,1
656.png,1
657.png,0
658.png,0
659.png,0
660.png,1
661.png,1
662.png,1
663.png,3
664.png,3
665.png,1
666.png,2
667.png,2
668.png,1
669.png,1
670.png,1
671.png,0
672.png,0
673.png,0
674.png,1
675.png,1
676.png,1
677.png,0
678.png,0
679.png,0
680.png,2
681.png,2
682.png,3
683.png,3
684.png,1
685.png,0
686.png,0
687.png,1
688.png,1
689.png,1
690.png,3
691.png,3
692.png,3
693.png,2
694.png,2
695.png,2
696.png,1
697.png,1
698.png,1
699.png,0
700.png,0
701.png,1
702.png,1
703.png,1
704.png,0
705.png,0
706.png,0
707.png,2
708.png,2
709.png,1
710.png,3
711.png,3
712.png,3
713.png,3
714.png,3
715.png,2
716.png,2
717.png,2
718.png,2
719.png,2
720.png,1
721.png,3
722.png,3
723.png,0
724.png,0
725.png,0
726.png,1
727.png,1
728.png,1
729.png,0
730.png,0
731.png,1
732.png,1
733.png,1
734.png,3
735.png,3
736.png,3
737.png,2
738.png,2
739.png,2
740.png,1
741.png,1
742.png,1
743.png,0
744.png,0
745.png,2
746.png,2
747.png,2
748.png,3
749.png,3
750.png,3
751.png,0
752.png,0
753.png,1
754.png,1
755.png,1
756.png,0
757.png,0
758.png,0
759.png,1
760.png,1
761.png,1
762.png,3
763.png,3
764.png,1
765.png,2
766.png,2
767.png,1
768.png,1
769.png,1
770.png,0
771.png,0
772.png,0
773.png,1
774.png,1
775.png,1
776.png,0
777.png,0
778.png,1
779.png,1
780.png,1
781.png,0
782.png,0
783.png,0
784.png,1
785.png,1
786.png,1
787.png,0
788.png,0
789.png,1
790.png,1
791.png,1
792.png,0
793.png,0
794.png,0
795.png,1
796.png,1
797.png,1
798.png,0
799.png,0
800.png,1
801.png,2
802.png,2
803.png,3
804.png,3
805.png,0
806.png,2
807.png,0
808.png,1
809.png,1
810.png,3
811.png,0
812.png,0
813.png,0
814.png,1
815.png,1
816.png,1
817.png,0
818.png,0
819.png,1
820.png,1
821.png,1
822.png,0
823.png,0
824.png,0
825.png,1
826.png,1
827.png,1
828.png,0
829.png,0
830.png,1
831.png,1
832.png,1
833.png,0
834.png,0
835.png,0
836.png,1
837.png,1
838.png,1
839.png,3
840.png,3
841.png,1
842.png,2
843.png,2
844.png,1
845.png,1
846.png,1
847.png,0
848.png,0
849.png,0
850.png,1
851.png,1
852.png,1
853.png,0
854.png,0
855.png,0
856.png,2
857.png,2
858.png,3
859.png,3
860.png,1
861.png,0
862.png,0
863.png,1
864.png,1
865.png,1
866.png,3
867.png,3
868.png,3
869.png,2
870.png,2
871.png,2
872.png,1
873.png,1
874.png,1
875.png,0
876.png,0
877.png,1
878.png,1
879.png,1
880.png,0
881.png,0
882.png,0
883.png,2
884.png,2
885.png,1
886.png,3
887.png,3
888.png,3
889.png,3
890.png,3
891.png,2
892.png,2
893.png,2
894.png,2
895.png,2
896.png,1
897.png,3
898.png,3
899.png,0
900.png,0
901.png,0
902.png,1
903.png,1
904.png,1
905.png,0
906.png,0
907.png,1
908.png,1
909.png,1
910.png,3
911.png,3
912.png,3
913.png,2
914.png,2
915.png,2
916.png,1
917.png,1
918.png,1
919.png,0
920.png,0
921.png,2
922.png,2
923.png,2
924.png,3
925.png,3
926.png,3
927.png,0
928.png,0
929.png,1
930.png,1
931.png,1
932.png,0
933.png,0
934.png,0
935.png,1
936.png,1
937.png,1
938.png,3
939.png,3
940.png,1
941.png,2
942.png,2
943.png,1
944.png,1
945.png,1
946.png,0
947.png,0
948.png,0
949.png,1
950.png,1
951.png,1
952.png,0
953.png,0
954.png,1
955.png,1
956.png,1
957.png,0
958.png,0
959.png,0
960.png,1
961.png,1
962.png,1
963.png,0
964.png,0
965.png,1
966.png,1
967.png,1
968.png,0
969.png,0
970.png,0
971.png,1
972.png,1
973.png,1
974.png,0
975.png,0
976.png,1
977.png,2
978.png,2
979.png,3
980.png,3
981.png,0
982.png,2
983.png,0
984.png,1
985.png,1
986.png,3
987.png,0
988.png,0
989.png,0
990.png,1
991.png,1
992.png,1
993.png,0
994.png,0
995.png,1
996.png,1
997.png,1
998.png,0
999.png,0
1152.png,3
1153.png,2
1154.png,3
1155.png,2
1156.png,1
1157.png,1
1158.png,0
1159.png,3
1160.png,0
1161.png,1
1162.png,2
1163.png,0
1164.png,1
1165.png,1
1166.png,3
1167.png,0
1168.png,1
1169.png,2
1170.png,1
1171.png,1
1172.png,0
1173.png,0
1174.png,1
1175.png,0
1176.png,1
1177.png,0
1178.png,1
1179.png,1
1180.png,0
1181.png,0
1182.png,1
1183.png,1
1184.png,3
1185.png,1
1186.png,2
1187.png,1
1188.png,1
1189.png,0
1190.png,0
1191.png,1
1192.png,1
1193.png,0
1194.png,1
1195.png,0
1196.png,1
1197.png,0
1198.png,3
1199.png,1
1200.png,2
1201.png,1
1202.png,1
1203.png,0
1204.png,0
1205.png,1
1206.png,1
1207.png,1
1208.png,2
1209.png,2
1210.png,3
1211.png,3
1212.png,0
1213.png,1
1214.png,1
1215.png,1
1216.png,3
1217.png,2
1218.png,0
1219.png,2
1220.png,1
1221.png,3
